calificacion,impartida_por,promedio_anual,maestro_guia,unidades_segun_grado,id_ca_cursos,id_ca_unidades,id_ca_alumnos,id_ca_grados,id_ca_secciones,id_ca_carreras
92,Isaías Sosa,,Isaías Sosa,4,6,1,221,6,11,3
100,Isaías Sosa,,Isaías Sosa,3,6,1,219,6,11,3
98,Isaías Sosa,,Isaías Sosa,4,6,1,223,6,11,3
63,Isaías Sosa,,Isaías Sosa,4,6,1,224,6,11,3
86,Isaías Sosa,,Isaías Sosa,4,6,1,226,6,11,3
100,Isaías Sosa,,Isaías Sosa,4,6,1,228,6,11,3
84,Isaías Sosa,,Isaías Sosa,4,6,1,229,6,11,3
93,Isaías Sosa,,Isaías Sosa,4,6,1,230,6,11,3
86,Isaías Sosa,,Isaías Sosa,4,6,1,231,6,11,3
81,Isaías Sosa,,Isaías Sosa,4,6,1,232,6,11,3
99,Isaías Sosa,,Isaías Sosa,4,6,1,233,6,11,3
96,Isaías Sosa,,Isaías Sosa,4,6,1,234,6,11,3
87,Isaías Sosa,,Isaías Sosa,4,6,1,235,6,11,3
74,Isaías Sosa,,Isaías Sosa,4,6,1,236,6,11,3
89,Isaías Sosa,,Isaías Sosa,4,6,1,237,6,11,3
96,Isaías Sosa,,Isaías Sosa,4,6,1,238,6,11,3
92,Isaías Sosa,,Isaías Sosa,4,6,1,239,6,11,3
98,Isaías Sosa,,Isaías Sosa,4,6,1,240,6,11,3
96,Isaías Sosa,,Isaías Sosa,4,6,1,241,6,11,3
92,Isaías Sosa,,Isaías Sosa,4,6,1,244,6,11,3
92,Isaías Sosa,,Isaías Sosa,4,6,1,245,6,11,3
86,Isaías Sosa,,Isaías Sosa,4,6,1,246,6,11,3
100,Isaías Sosa,,Isaías Sosa,4,6,1,247,6,11,3
93,Isaías Sosa,,Isaías Sosa,4,6,1,251,6,11,3
92,Isaías Sosa,,Isaías Sosa,4,6,1,252,6,11,3
82,Isaías Sosa,,Isaías Sosa,4,6,1,253,6,11,3
93,Isaías Sosa,,Isaías Sosa,4,6,1,254,6,11,3
95,Isaías Sosa,,Isaías Sosa,4,6,1,255,6,11,3
80,Isaías Sosa,,Isaías Sosa,4,6,1,256,6,11,3
86,Isaías Sosa,,Isaías Sosa,4,6,1,257,6,11,3
92,Isaías Sosa,,Isaías Sosa,4,6,1,258,6,11,3
93,Isaías Sosa,,Isaías Sosa,4,6,1,259,6,11,3
98,Isaías Sosa,,Isaías Sosa,4,6,1,260,6,11,3
88,Isaías Sosa,,Isaías Sosa,4,6,1,261,6,11,3
84,Isaías Sosa,,Isaías Sosa,4,6,1,262,6,11,3
96,Isaías Sosa,,Isaías Sosa,4,6,1,263,6,11,3
89,Isaías Sosa,,Isaías Sosa,4,6,1,433,6,11,3
72,Isaías Sosa,,Isaías Sosa,4,6,1,434,6,11,3
85,Isaías Sosa,,Isaías Sosa,4,6,1,435,6,11,3
