calificacion,impartida_por,promedio_anual,maestro_guia,unidades_segun_grado,id_ca_cursos,id_ca_unidades,id_ca_alumnos,id_ca_grados,id_ca_secciones,id_ca_carreras
47,Isaías Sosa,,Isaías Sosa,4,29,1,221,6,11,3
60,Isaías Sosa,,Isaías Sosa,3,29,1,219,6,11,3
72,Isaías Sosa,,Isaías Sosa,4,29,1,223,6,11,3
41,Isaías Sosa,,Isaías Sosa,4,29,1,224,6,11,3
34,Isaías Sosa,,Isaías Sosa,4,29,1,226,6,11,3
50,Isaías Sosa,,Isaías Sosa,4,29,1,228,6,11,3
52,Isaías Sosa,,Isaías Sosa,4,29,1,229,6,11,3
44,Isaías Sosa,,Isaías Sosa,4,29,1,230,6,11,3
39,Isaías Sosa,,Isaías Sosa,4,29,1,231,6,11,3
46,Isaías Sosa,,Isaías Sosa,4,29,1,232,6,11,3
36,Isaías Sosa,,Isaías Sosa,4,29,1,233,6,11,3
65,Isaías Sosa,,Isaías Sosa,4,29,1,234,6,11,3
45,Isaías Sosa,,Isaías Sosa,4,29,1,235,6,11,3
51,Isaías Sosa,,Isaías Sosa,4,29,1,236,6,11,3
39,Isaías Sosa,,Isaías Sosa,4,29,1,237,6,11,3
42,Isaías Sosa,,Isaías Sosa,4,29,1,238,6,11,3
41,Isaías Sosa,,Isaías Sosa,4,29,1,239,6,11,3
33,Isaías Sosa,,Isaías Sosa,4,29,1,240,6,11,3
26,Isaías Sosa,,Isaías Sosa,4,29,1,241,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,29,1,244,6,11,3
42,Isaías Sosa,,Isaías Sosa,4,29,1,245,6,11,3
42,Isaías Sosa,,Isaías Sosa,4,29,1,246,6,11,3
48,Isaías Sosa,,Isaías Sosa,4,29,1,247,6,11,3
75,Isaías Sosa,,Isaías Sosa,4,29,1,251,6,11,3
34,Isaías Sosa,,Isaías Sosa,4,29,1,252,6,11,3
45,Isaías Sosa,,Isaías Sosa,4,29,1,253,6,11,3
50,Isaías Sosa,,Isaías Sosa,4,29,1,254,6,11,3
33,Isaías Sosa,,Isaías Sosa,4,29,1,255,6,11,3
,Isaías Sosa,,Isaías Sosa,4,29,1,256,6,11,3
34,Isaías Sosa,,Isaías Sosa,4,29,1,257,6,11,3
49,Isaías Sosa,,Isaías Sosa,4,29,1,258,6,11,3
35,Isaías Sosa,,Isaías Sosa,4,29,1,259,6,11,3
54,Isaías Sosa,,Isaías Sosa,4,29,1,260,6,11,3
22,Isaías Sosa,,Isaías Sosa,4,29,1,261,6,11,3
71,Isaías Sosa,,Isaías Sosa,4,29,1,262,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,29,1,263,6,11,3
25,Isaías Sosa,,Isaías Sosa,4,29,1,433,6,11,3
42,Isaías Sosa,,Isaías Sosa,4,29,1,434,6,11,3
62,Isaías Sosa,,Isaías Sosa,4,29,1,435,6,11,3
