calificacion,impartida_por,promedio_anual,maestro_guia,unidades_segun_grado,id_ca_cursos,id_ca_unidades,id_ca_alumnos,id_ca_grados,id_ca_secciones,id_ca_carreras
54,Isaías Sosa,,Isaías Sosa,4,3,2,221,6,11,3
71,Isaías Sosa,,Isaías Sosa,3,3,2,219,6,11,3
69,Isaías Sosa,,Isaías Sosa,4,3,2,223,6,11,3
43,Isaías Sosa,,Isaías Sosa,4,3,2,224,6,11,3
67,Isaías Sosa,,Isaías Sosa,4,3,2,226,6,11,3
65,Isaías Sosa,,Isaías Sosa,4,3,2,228,6,11,3
71,Isaías Sosa,,Isaías Sosa,4,3,2,229,6,11,3
53,Isaías Sosa,,Isaías Sosa,4,3,2,230,6,11,3
63,Isaías Sosa,,Isaías Sosa,4,3,2,231,6,11,3
65,Isaías Sosa,,Isaías Sosa,4,3,2,232,6,11,3
44,Isaías Sosa,,Isaías Sosa,4,3,2,233,6,11,3
76,Isaías Sosa,,Isaías Sosa,4,3,2,234,6,11,3
68,Isaías Sosa,,Isaías Sosa,4,3,2,235,6,11,3
63,Isaías Sosa,,Isaías Sosa,4,3,2,236,6,11,3
59,Isaías Sosa,,Isaías Sosa,4,3,2,237,6,11,3
63,Isaías Sosa,,Isaías Sosa,4,3,2,238,6,11,3
66,Isaías Sosa,,Isaías Sosa,4,3,2,239,6,11,3
75,Isaías Sosa,,Isaías Sosa,4,3,2,240,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,3,2,241,6,11,3
67,Isaías Sosa,,Isaías Sosa,4,3,2,244,6,11,3
61,Isaías Sosa,,Isaías Sosa,4,3,2,245,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,3,2,246,6,11,3
65,Isaías Sosa,,Isaías Sosa,4,3,2,247,6,11,3
82,Isaías Sosa,,Isaías Sosa,4,3,2,251,6,11,3
0,Isaías Sosa,,Isaías Sosa,4,3,2,252,6,11,3
56,Isaías Sosa,,Isaías Sosa,4,3,2,253,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,3,2,254,6,11,3
30,Isaías Sosa,,Isaías Sosa,4,3,2,255,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,3,2,256,6,11,3
38,Isaías Sosa,,Isaías Sosa,4,3,2,257,6,11,3
49,Isaías Sosa,,Isaías Sosa,4,3,2,258,6,11,3
54,Isaías Sosa,,Isaías Sosa,4,3,2,259,6,11,3
72,Isaías Sosa,,Isaías Sosa,4,3,2,260,6,11,3
58,Isaías Sosa,,Isaías Sosa,4,3,2,261,6,11,3
68,Isaías Sosa,,Isaías Sosa,4,3,2,262,6,11,3
59,Isaías Sosa,,Isaías Sosa,4,3,2,263,6,11,3
62,Isaías Sosa,,Isaías Sosa,4,3,2,433,6,11,3
38,Isaías Sosa,,Isaías Sosa,4,3,2,434,6,11,3
,Isaías Sosa,,Isaías Sosa,4,3,2,435,6,11,3
