calificacion,impartida_por,promedio_anual,maestro_guia,unidades_segun_grado,id_ca_cursos,id_ca_unidades,id_ca_alumnos,id_ca_grados,id_ca_secciones,id_ca_carreras
56,Isaías Sosa,,Isaías Sosa,4,14,2,221,6,11,3
80,Isaías Sosa,,Isaías Sosa,3,14,2,219,6,11,3
96,Isaías Sosa,,Isaías Sosa,4,14,2,223,6,11,3
29,Isaías Sosa,,Isaías Sosa,4,14,2,224,6,11,3
64,Isaías Sosa,,Isaías Sosa,4,14,2,226,6,11,3
97,Isaías Sosa,,Isaías Sosa,4,14,2,228,6,11,3
77,Isaías Sosa,,Isaías Sosa,4,14,2,229,6,11,3
64,Isaías Sosa,,Isaías Sosa,4,14,2,230,6,11,3
50,Isaías Sosa,,Isaías Sosa,4,14,2,231,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,14,2,232,6,11,3
79,Isaías Sosa,,Isaías Sosa,4,14,2,233,6,11,3
88,Isaías Sosa,,Isaías Sosa,4,14,2,234,6,11,3
81,Isaías Sosa,,Isaías Sosa,4,14,2,235,6,11,3
57,Isaías Sosa,,Isaías Sosa,4,14,2,236,6,11,3
56,Isaías Sosa,,Isaías Sosa,4,14,2,237,6,11,3
64,Isaías Sosa,,Isaías Sosa,4,14,2,238,6,11,3
59,Isaías Sosa,,Isaías Sosa,4,14,2,239,6,11,3
68,Isaías Sosa,,Isaías Sosa,4,14,2,240,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,14,2,241,6,11,3
70,Isaías Sosa,,Isaías Sosa,4,14,2,244,6,11,3
44,Isaías Sosa,,Isaías Sosa,4,14,2,245,6,11,3
43,Isaías Sosa,,Isaías Sosa,4,14,2,246,6,11,3
25,Isaías Sosa,,Isaías Sosa,4,14,2,247,6,11,3
85,Isaías Sosa,,Isaías Sosa,4,14,2,251,6,11,3
0,Isaías Sosa,,Isaías Sosa,4,14,2,252,6,11,3
57,Isaías Sosa,,Isaías Sosa,4,14,2,253,6,11,3
78,Isaías Sosa,,Isaías Sosa,4,14,2,254,6,11,3
0,Isaías Sosa,,Isaías Sosa,4,14,2,255,6,11,3
69,Isaías Sosa,,Isaías Sosa,4,14,2,256,6,11,3
17,Isaías Sosa,,Isaías Sosa,4,14,2,257,6,11,3
76,Isaías Sosa,,Isaías Sosa,4,14,2,258,6,11,3
66,Isaías Sosa,,Isaías Sosa,4,14,2,259,6,11,3
79,Isaías Sosa,,Isaías Sosa,4,14,2,260,6,11,3
51,Isaías Sosa,,Isaías Sosa,4,14,2,261,6,11,3
63,Isaías Sosa,,Isaías Sosa,4,14,2,262,6,11,3
60,Isaías Sosa,,Isaías Sosa,4,14,2,263,6,11,3
62,Isaías Sosa,,Isaías Sosa,4,14,2,433,6,11,3
40,Isaías Sosa,,Isaías Sosa,4,14,2,434,6,11,3
,Isaías Sosa,,Isaías Sosa,4,14,2,435,6,11,3
