calificacion,impartida_por,promedio_anual,maestro_guia,unidades_segun_grado,id_ca_cursos,id_ca_unidades,id_ca_alumnos,id_ca_grados,id_ca_secciones,id_ca_carreras
100,CATEDRATICO,,Maestro Guia,4,1,1,1,1,1,1
90,CATEDRATICO,,Maestro Guia uno dos,3,1,1,1,1,1,1
85,CATEDRATICO,,Maestro Guia uno tres,4,1,1,1,1,1,1
85,CATEDRATICO,,Maestro Guia uno cuatro,4,1,1,1,1,1,1
84,CATEDRATICO,,Maestro Guia uno cinco,4,1,1,1,1,1,1
53,CATEDRATICO,,Maestro Guia uno seis,4,1,1,1,1,1,1
83,CATEDRATICO,,Maestro Guia uno siete,4,1,1,1,1,1,1
82,CATEDRATICO,,Maestro Guia uno ocho,4,1,1,1,1,1,1
81,CATEDRATICO,,Maestro Guia uno nueve,4,1,1,1,1,1,1
80,CATEDRATICO,,Maestro Guia uno diez,3,1,1,1,1,1,1
